I:\InterSystems\HealthShare\mgr\logs\pButtons\20170103_000100_24hours_30sec_7.log,MGSTATv2.9a,wdcycle=40^10^80^4,globalbuffers=24000MB:0^0^24000^0^0^0,routinebuffers=1021MB:0^127^0^383^0^511,numberofcpus=8:x86^2^8,productversion=Cache for Windows (x86-64) 2015.2 (Build 664_3_16515U) Thu Jul 14 2016 13:11:41 EDT
Date,       Time    ,  Glorefs, RemGrefs, GRratio,  PhyRds, Rdratio, Gloupds, RemGupds, Rourefs, RemRrefs,  RouLaS, RemRLaS,  PhyWrs,   WDQsz,  WDtmpq, WDphase,  WIJwri,  RouCMs, Jrnwrts,  ActECP,  Addblk, PrgBufL, PrgSrvR,  BytSnt,  BytRcd,  WDpass,  IJUcnt, IJULock
01/03/2017, 00:09:20,   343220,        0,       0,       0,       0,    1491,        0,   14213,        0,       5,       0,       0,     558,       0,       0,       0,       9,       2,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:09:30,   124564,        0,       0,       0,       0,     634,        0,   14882,        0,       8,       0,       0,     604,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:09:40,   105319,        0,       0,       0,       0,     599,        0,   20694,        0,       9,       0,       0,     627,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:09:50,    40633,        0,       0,       0,       0,    1270,        0,   11156,        0,       3,       0,       0,     649,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:10:00,   113193,        0,       0,       0,       0,    1602,        0,   22940,        0,      15,       0,       0,     717,       0,       0,       0,       5,       0,       0,       0,       0,       0,       0,       0,    1351,       0,       0
01/03/2017, 00:10:10,    44788,        0,       0,       0,       0,     334,        0,    5971,        0,       3,       0,      79,      18,       0,       0,       2,      10,       0,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:10:20,   124503,        0,       0,       0,       0,    1388,        0,   11260,        0,       3,       0,       0,     107,       0,       0,       0,       2,       0,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:10:30,   185317,        0,       0,       0,       0,    6099,        0,   17534,        0,       2,       0,       0,     389,       0,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,    1352,       0,       0
01/03/2017, 00:10:40,   332466,        0,       0,      17, 7383.94,    4016,        0,   24391,        0,       7,       0,       0,     688,       0,       0,       0,       1,       0,       0,       0,       0,       0,       0,       0,    1352,       1,       0
01/03/2017, 00:10:50,   156561,        0,       0,      21, 5771.48,    7144,        0,   13697,        0,       0,       0,       0,     921,       0,       0,       0,       0,       4,       0,       0,       0,       0,       0,       0,    1352,       0,       0
